timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 15:40:33.497, 46, 51.50 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.500, 45, 40.24 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.602, 47, 15.53 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:33.606, 45, 41.90 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.609, 46, 51.51 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.611, 45, 40.33 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.714, 47, 8.41 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:33.717, 45, 42.10 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.720, 46, 51.42 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.724, 45, 40.24 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.827, 46, 8.46 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:33.830, 45, 41.98 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.834, 46, 51.39 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.837, 45, 40.31 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.940, 46, 8.39 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:33.943, 45, 42.10 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.946, 46, 51.34 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:33.949, 45, 40.24 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.053, 46, 8.48 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:34.057, 44, 41.76 W, 450 MHz, 0 %, 405 MHz, 0 %, 450 MHz
2024/05/07 15:40:34.060, 46, 51.43 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.062, 45, 40.32 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.165, 46, 8.64 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:34.168, 43, 24.19 W, 360 MHz, 0 %, 405 MHz, 0 %, 360 MHz
2024/05/07 15:40:34.171, 46, 51.42 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.173, 45, 40.17 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.276, 46, 16.48 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:34.280, 42, 13.19 W, 360 MHz, 0 %, 405 MHz, 0 %, 360 MHz
2024/05/07 15:40:34.284, 46, 51.44 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.288, 45, 40.40 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.393, 46, 8.06 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:34.396, 42, 7.41 W, 360 MHz, 0 %, 405 MHz, 0 %, 360 MHz
2024/05/07 15:40:34.400, 46, 51.47 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.402, 45, 40.30 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:34.505, 46, 8.44 W, 345 MHz, 0 %, 405 MHz, 0 %, 345 MHz
2024/05/07 15:40:34.509, 42, 7.42 W, 360 MHz, 0 %, 405 MHz, 0 %, 360 MHz
